!SIL 1.0	SIL
<OOV> 1.0	SPN
ABIS 1.0	A B I S
ABROAD 1.0	E B R O D
ACTUALLY 1.0	EE K C U E L I
ADA 1.0	A D A
ADALAH 1.0	A D A L A H
ADEM 1.0	A D E M
ADIL 1.0	A D I L
ADVENTUROUS 1.0	EE D V EE N C E R E S
AGAMA 1.0	A G A M A
AGAR 1.0	A G A R
AGODA 1.0	A G O D A
AIR 1.0	A I R
AIRNYA 1.0	A I R NY A
AJA 1.0	A J A
AKAL 1.0	A K A L
AKAN 1.0	A K A N
AKHIR 1.0	A KH I R
AKU 1.0	A K U
ALAM 1.0	A L A M
ALAMI 1.0	A L A M I
ALAMIAH 1.0	A L A M I A H
ALAMNYA 1.0	A L A M NY A
ALAT 1.0	A L A T
ALTERNATIF 1.0	A L T E R N A T I F
AMBIL 1.0	A M B I L
AMPAT 1.0	A M P A T
ANAK 1.0	A N A K
ANCOL 1.0	A N C O L
AND 1.0	EE N D
ANGGOTA 1.0	A NG G O T A
ANTARA 1.0	A N T A R A
APA 1.0	A P A
APAPUN 1.0	A P A P U N
API 1.0	A P I
APPARENTLY 1.0	E P EE R E N L I
ARAH 1.0	A R A H
ASAL 1.0	A S A L
ASASI 1.0	A S A S I
ASIK 1.0	A S I K
ASING 1.0	A S I NG
ASLI 1.0	A S L I
ATAS 1.0	A T A S
ATASAN 1.0	A T A S A N
ATAU 1.0	A T AU
ATAUPUN 1.0	A T AU P U N
AWAL 1.0	A W A L
AWKWARD 1.0	A K W E R D
AYAM 1.0	A Y A M
AYEM 1.0	A Y E M
AYO 1.0	A Y O
BACKPACK 1.0	B EE K P EE K
BADAN 1.0	B A D A N
BAG 1.0	B EE G
BAGAI 1.0	B A G AI
BAGAIMANA 1.0	B A G AI M A N A
BAGI 1.0	B A G I
BAGIKU 1.0	B A G I K U
BAGUS 1.0	B A G U S
BAHASA 1.0	B A H A S A
BAHWA 1.0	B A H W A
BAIK 1.0	B A I K
BAIKNYA 1.0	B A I K NY A
BAKAL 1.0	B A K A L
BALANCE 1.0	B EE L E N S
BALI 1.0	B A L I
BALIK 1.0	B A L I K
BANANA 1.0	B A N A N A
BANDUNG 1.0	B A N D U NG
BANGET 1.0	B A NG E T
BANGSA 1.0	B A NG S A
BANTUAN 1.0	B A N T U A N
BANYAK 1.0	B A NY A K
BARBEQUE 1.0	B A R B EE K I U
BARENG 1.0	B A R E NG
BARU 1.0	B A R U
BATAS 1.0	B A T A S
BATASAN 1.0	B A T A S A N
BATU 1.0	B A T U
BAWA 1.0	B A W A
BAWAH 1.0	B A W A H
BAWAKAN 1.0	B A W A K A N
BAYANGIN 1.0	B A Y A NG I N
BEAUTIFUL 1.0	B I U T I F U L
BEAUTY 1.0	B I U T I
BEBAN 1.0	B E B A N
BEBAS 1.0	B EE B A S
BEBERAPA 1.0	B E B E R A P A
BEDAKAN 1.0	B EE D A K A N
BEGITU 1.0	B E G I T U
BEH 1.0	B E H
BEKERJASAMA 1.0	B E K E R J A S A M A
BELAJAR 1.0	B E L A J A R
BELAS 1.0	B E L A S
BELI 1.0	B E L I
BELOM 1.0	B E L O M
BELUM 1.0	B E L U M
BENAR 1.0	B E N A R
BENER 1.0	B E N E R
BENGIS 1.0	B E NG I S
BENTUK 1.0	B E N T U K
BERADA 1.0	B E R A D A
BERAGAM 1.0	B E R A G A M
BERAGAMA 1.0	B E R A G A M A
BERAPA 1.0	B E R A P A
BERASAL 1.0	B E R A S A L
BERAT 1.0	B E R A T
BERBAGAI 1.0	B E R B A G AI
BERBAGI 1.0	B E R B A G I
BERBENTUK 1.0	B E R B E N T U K
BERBICARA 1.0	B E R B I C A R A
BERBINTANG 1.0	B E R B I N T A NG
BERDASARKAN 1.0	B E R D A S A R K A N
BERDIAM 1.0	B E R D I A M
BERENANG 1.0	B E R E N A NG
BERENCANA 1.0	B E R E N C A N A
BERES 1.0	B EE R EE S
BERGANTI 1.0	B E R G A N T I
BERGAUL 1.0	B E R G A U L
BERGERAK 1.0	B E R G E R A K
BERHAK 1.0	B E R H A K
BERHARGA 1.0	B E R H A R G A
BERHUBUNGAN 1.0	B E R H U B U NG A N
BERJANJI 1.0	B E R J A N J I
BERKALA 1.0	B E R K A L A
BERKEMAH 1.0	B E R K EE M A H
BERKUMPUL 1.0	B E R K U M P U L
BERKUNJUNG 1.0	B E R K U N J U NG
BERLAINAN 1.0	B E R L A I N A N
BERLAKU 1.0	B E R L A K U
BERLIBUR 1.0	B E R L I B U R
BERMAIN 1.0	B E R M A I N
BERMAKNA 1.0	B E R M A K N A
BERMARTABAT 1.0	B E R M A R T A B A T
BERSALAH 1.0	B E R S A L A H
BERSAMA 1.0	B E R S A M A
BERSAMAKU 1.0	B E R S A M A K U
BERSANTAI 1.0	B E R S A N T AI
BERSERIKAT 1.0	B E R S E R I K A T
BERSIFAT 1.0	B E R S I F A T
BERSINAR 1.0	B E R S I N A R
BERTEKAD 1.0	B E R T EE K A D
BERTENTANGAN 1.0	B E R T E N T A NG A N
BERTUJUAN 1.0	B E R T U J U A N
BERUSAHA 1.0	B E R U S A H A
BESAR 1.0	B E S A R
BESOK 1.0	B EE S O K
BETAH 1.0	B E T A H
